district,localities,hhsize,avg_rooms_per_house
NAUSHAHRO FEROZE DISTRICT,RURAL,1 PERSON,1.22
NAUSHAHRO FEROZE DISTRICT,RURAL,2 PERSONS,1.23
NAUSHAHRO FEROZE DISTRICT,RURAL,3 PERSONS,1.28
NAUSHAHRO FEROZE DISTRICT,RURAL,4 PERSONS,1.33
NAUSHAHRO FEROZE DISTRICT,RURAL,5 PERSONS,1.41
NAUSHAHRO FEROZE DISTRICT,RURAL,6 PERSONS,1.47
NAUSHAHRO FEROZE DISTRICT,RURAL,7 PERSONS,1.54
NAUSHAHRO FEROZE DISTRICT,RURAL,8 PERSONS,1.62
NAUSHAHRO FEROZE DISTRICT,RURAL,9 PERSONS,1.74
NAUSHAHRO FEROZE DISTRICT,RURAL,10 PERSONS AND ABOVE,2.12
NAUSHAHRO FEROZE DISTRICT,URBAN,1 PERSON,1.57
NAUSHAHRO FEROZE DISTRICT,URBAN,2 PERSONS,1.57
NAUSHAHRO FEROZE DISTRICT,URBAN,3 PERSONS,1.64
NAUSHAHRO FEROZE DISTRICT,URBAN,4 PERSONS,1.74
NAUSHAHRO FEROZE DISTRICT,URBAN,5 PERSONS,1.88
NAUSHAHRO FEROZE DISTRICT,URBAN,6 PERSONS,1.99
NAUSHAHRO FEROZE DISTRICT,URBAN,7 PERSONS,2.06
NAUSHAHRO FEROZE DISTRICT,URBAN,8 PERSONS,2.14
NAUSHAHRO FEROZE DISTRICT,URBAN,9 PERSONS,2.28
NAUSHAHRO FEROZE DISTRICT,URBAN,10 PERSONS AND ABOVE,2.78
NORTH WAZIRISTAN AGENCY,RURAL,1 PERSON,2.69
NORTH WAZIRISTAN AGENCY,RURAL,2 PERSONS,1.92
NORTH WAZIRISTAN AGENCY,RURAL,3 PERSONS,2.11
NORTH WAZIRISTAN AGENCY,RURAL,4 PERSONS,2.24
NORTH WAZIRISTAN AGENCY,RURAL,5 PERSONS,2.45
NORTH WAZIRISTAN AGENCY,RURAL,6 PERSONS,2.62
NORTH WAZIRISTAN AGENCY,RURAL,7 PERSONS,2.79
NORTH WAZIRISTAN AGENCY,RURAL,8 PERSONS,2.99
NORTH WAZIRISTAN AGENCY,RURAL,9 PERSONS,3.27
NORTH WAZIRISTAN AGENCY,RURAL,10 PERSONS AND ABOVE,4.52
NORTH WAZIRISTAN AGENCY,URBAN,1 PERSON,3.5
NORTH WAZIRISTAN AGENCY,URBAN,2 PERSONS,3.33
NORTH WAZIRISTAN AGENCY,URBAN,3 PERSONS,3.16
NORTH WAZIRISTAN AGENCY,URBAN,4 PERSONS,3.39
NORTH WAZIRISTAN AGENCY,URBAN,5 PERSONS,2.98
NORTH WAZIRISTAN AGENCY,URBAN,6 PERSONS,3.23
NORTH WAZIRISTAN AGENCY,URBAN,7 PERSONS,3.16
NORTH WAZIRISTAN AGENCY,URBAN,8 PERSONS,3.15
NORTH WAZIRISTAN AGENCY,URBAN,9 PERSONS,3.27
NORTH WAZIRISTAN AGENCY,URBAN,10 PERSONS AND ABOVE,3.36
NOWSHERA DISTRICT,RURAL,1 PERSON,1.97
NOWSHERA DISTRICT,RURAL,2 PERSONS,1.86
NOWSHERA DISTRICT,RURAL,3 PERSONS,1.93
NOWSHERA DISTRICT,RURAL,4 PERSONS,2.04
NOWSHERA DISTRICT,RURAL,5 PERSONS,2.14
NOWSHERA DISTRICT,RURAL,6 PERSONS,2.28
NOWSHERA DISTRICT,RURAL,7 PERSONS,2.44
NOWSHERA DISTRICT,RURAL,8 PERSONS,2.63
NOWSHERA DISTRICT,RURAL,9 PERSONS,2.87
NOWSHERA DISTRICT,RURAL,10 PERSONS AND ABOVE,3.93
NOWSHERA DISTRICT,URBAN,1 PERSON,1.99
NOWSHERA DISTRICT,URBAN,2 PERSONS,2.01
NOWSHERA DISTRICT,URBAN,3 PERSONS,2.08
NOWSHERA DISTRICT,URBAN,4 PERSONS,2.24
NOWSHERA DISTRICT,URBAN,5 PERSONS,2.32
NOWSHERA DISTRICT,URBAN,6 PERSONS,2.42
NOWSHERA DISTRICT,URBAN,7 PERSONS,2.54
NOWSHERA DISTRICT,URBAN,8 PERSONS,2.72
NOWSHERA DISTRICT,URBAN,9 PERSONS,2.92
NOWSHERA DISTRICT,URBAN,10 PERSONS AND ABOVE,3.93
NUSHKI DISTRICT,RURAL,1 PERSON,1.88
NUSHKI DISTRICT,RURAL,2 PERSONS,1.96
NUSHKI DISTRICT,RURAL,3 PERSONS,2.16
NUSHKI DISTRICT,RURAL,4 PERSONS,2.34
NUSHKI DISTRICT,RURAL,5 PERSONS,2.46
NUSHKI DISTRICT,RURAL,6 PERSONS,2.66
NUSHKI DISTRICT,RURAL,7 PERSONS,2.82
NUSHKI DISTRICT,RURAL,8 PERSONS,3.07
NUSHKI DISTRICT,RURAL,9 PERSONS,3.24
NUSHKI DISTRICT,RURAL,10 PERSONS AND ABOVE,4.07
NUSHKI DISTRICT,URBAN,1 PERSON,2.27
NUSHKI DISTRICT,URBAN,2 PERSONS,2.38
NUSHKI DISTRICT,URBAN,3 PERSONS,2.57
NUSHKI DISTRICT,URBAN,4 PERSONS,2.72
NUSHKI DISTRICT,URBAN,5 PERSONS,2.89
NUSHKI DISTRICT,URBAN,6 PERSONS,3.17
NUSHKI DISTRICT,URBAN,7 PERSONS,3.16
NUSHKI DISTRICT,URBAN,8 PERSONS,3.31
NUSHKI DISTRICT,URBAN,9 PERSONS,3.69
NUSHKI DISTRICT,URBAN,10 PERSONS AND ABOVE,4.39
OKARA DISTRICT,RURAL,1 PERSON,1.56
OKARA DISTRICT,RURAL,2 PERSONS,1.6
OKARA DISTRICT,RURAL,3 PERSONS,1.74
OKARA DISTRICT,RURAL,4 PERSONS,1.85
OKARA DISTRICT,RURAL,5 PERSONS,1.97
OKARA DISTRICT,RURAL,6 PERSONS,2.08
OKARA DISTRICT,RURAL,7 PERSONS,2.2
OKARA DISTRICT,RURAL,8 PERSONS,2.33
OKARA DISTRICT,RURAL,9 PERSONS,2.49
OKARA DISTRICT,RURAL,10 PERSONS AND ABOVE,3.11
OKARA DISTRICT,URBAN,1 PERSON,1.87
OKARA DISTRICT,URBAN,2 PERSONS,1.95
OKARA DISTRICT,URBAN,3 PERSONS,2.05
OKARA DISTRICT,URBAN,4 PERSONS,2.22
OKARA DISTRICT,URBAN,5 PERSONS,2.33
OKARA DISTRICT,URBAN,6 PERSONS,2.41
OKARA DISTRICT,URBAN,7 PERSONS,2.49
OKARA DISTRICT,URBAN,8 PERSONS,2.62
OKARA DISTRICT,URBAN,9 PERSONS,2.82
OKARA DISTRICT,URBAN,10 PERSONS AND ABOVE,3.42
ORAKZAI AGENCY,RURAL,1 PERSON,2.58
ORAKZAI AGENCY,RURAL,2 PERSONS,2.31
ORAKZAI AGENCY,RURAL,3 PERSONS,2.68
ORAKZAI AGENCY,RURAL,4 PERSONS,2.84
ORAKZAI AGENCY,RURAL,5 PERSONS,3.01
ORAKZAI AGENCY,RURAL,6 PERSONS,3.29
ORAKZAI AGENCY,RURAL,7 PERSONS,3.51
ORAKZAI AGENCY,RURAL,8 PERSONS,3.75
ORAKZAI AGENCY,RURAL,9 PERSONS,3.96
ORAKZAI AGENCY,RURAL,10 PERSONS AND ABOVE,4.98
ORAKZAI AGENCY,URBAN,1 PERSON,
ORAKZAI AGENCY,URBAN,2 PERSONS,
ORAKZAI AGENCY,URBAN,3 PERSONS,
ORAKZAI AGENCY,URBAN,4 PERSONS,
ORAKZAI AGENCY,URBAN,5 PERSONS,
ORAKZAI AGENCY,URBAN,6 PERSONS,
ORAKZAI AGENCY,URBAN,7 PERSONS,
ORAKZAI AGENCY,URBAN,8 PERSONS,
ORAKZAI AGENCY,URBAN,9 PERSONS,
ORAKZAI AGENCY,URBAN,10 PERSONS AND ABOVE,
PAKPATTAN DISTRICT,RURAL,1 PERSON,1.59
PAKPATTAN DISTRICT,RURAL,2 PERSONS,1.61
PAKPATTAN DISTRICT,RURAL,3 PERSONS,1.72
PAKPATTAN DISTRICT,RURAL,4 PERSONS,1.84
PAKPATTAN DISTRICT,RURAL,5 PERSONS,1.96
PAKPATTAN DISTRICT,RURAL,6 PERSONS,2.07
PAKPATTAN DISTRICT,RURAL,7 PERSONS,2.2
PAKPATTAN DISTRICT,RURAL,8 PERSONS,2.35
PAKPATTAN DISTRICT,RURAL,9 PERSONS,2.55
PAKPATTAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.23
PAKPATTAN DISTRICT,URBAN,1 PERSON,1.89
PAKPATTAN DISTRICT,URBAN,2 PERSONS,1.91
PAKPATTAN DISTRICT,URBAN,3 PERSONS,2.08
PAKPATTAN DISTRICT,URBAN,4 PERSONS,2.21
PAKPATTAN DISTRICT,URBAN,5 PERSONS,2.32
PAKPATTAN DISTRICT,URBAN,6 PERSONS,2.47
PAKPATTAN DISTRICT,URBAN,7 PERSONS,2.58
PAKPATTAN DISTRICT,URBAN,8 PERSONS,2.7
PAKPATTAN DISTRICT,URBAN,9 PERSONS,2.87
PAKPATTAN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.62
PANJGUR DISTRICT,RURAL,1 PERSON,1.75
PANJGUR DISTRICT,RURAL,2 PERSONS,2.07
PANJGUR DISTRICT,RURAL,3 PERSONS,2.44
PANJGUR DISTRICT,RURAL,4 PERSONS,2.68
PANJGUR DISTRICT,RURAL,5 PERSONS,3.06
PANJGUR DISTRICT,RURAL,6 PERSONS,3.42
PANJGUR DISTRICT,RURAL,7 PERSONS,3.73
PANJGUR DISTRICT,RURAL,8 PERSONS,4.12
PANJGUR DISTRICT,RURAL,9 PERSONS,4.45
PANJGUR DISTRICT,RURAL,10 PERSONS AND ABOVE,4.97
PANJGUR DISTRICT,URBAN,1 PERSON,1.77
PANJGUR DISTRICT,URBAN,2 PERSONS,2.21
PANJGUR DISTRICT,URBAN,3 PERSONS,2.56
PANJGUR DISTRICT,URBAN,4 PERSONS,2.85
PANJGUR DISTRICT,URBAN,5 PERSONS,3.19
PANJGUR DISTRICT,URBAN,6 PERSONS,3.31
PANJGUR DISTRICT,URBAN,7 PERSONS,3.49
PANJGUR DISTRICT,URBAN,8 PERSONS,3.68
PANJGUR DISTRICT,URBAN,9 PERSONS,3.97
PANJGUR DISTRICT,URBAN,10 PERSONS AND ABOVE,4.51
PESHAWAR DISTRICT,RURAL,1 PERSON,2.3
PESHAWAR DISTRICT,RURAL,2 PERSONS,1.97
PESHAWAR DISTRICT,RURAL,3 PERSONS,2.04
PESHAWAR DISTRICT,RURAL,4 PERSONS,2.13
PESHAWAR DISTRICT,RURAL,5 PERSONS,2.23
PESHAWAR DISTRICT,RURAL,6 PERSONS,2.35
PESHAWAR DISTRICT,RURAL,7 PERSONS,2.5
PESHAWAR DISTRICT,RURAL,8 PERSONS,2.67
PESHAWAR DISTRICT,RURAL,9 PERSONS,2.88
PESHAWAR DISTRICT,RURAL,10 PERSONS AND ABOVE,4.05
PESHAWAR DISTRICT,URBAN,1 PERSON,2.61
PESHAWAR DISTRICT,URBAN,2 PERSONS,2.75
PESHAWAR DISTRICT,URBAN,3 PERSONS,2.86
PESHAWAR DISTRICT,URBAN,4 PERSONS,2.99
PESHAWAR DISTRICT,URBAN,5 PERSONS,3.13
PESHAWAR DISTRICT,URBAN,6 PERSONS,3.2
PESHAWAR DISTRICT,URBAN,7 PERSONS,3.33
PESHAWAR DISTRICT,URBAN,8 PERSONS,3.44
PESHAWAR DISTRICT,URBAN,9 PERSONS,3.65
PESHAWAR DISTRICT,URBAN,10 PERSONS AND ABOVE,4.62
PISHIN DISTRICT,RURAL,1 PERSON,1.69
PISHIN DISTRICT,RURAL,2 PERSONS,1.85
PISHIN DISTRICT,RURAL,3 PERSONS,2.11
PISHIN DISTRICT,RURAL,4 PERSONS,2.33
PISHIN DISTRICT,RURAL,5 PERSONS,2.46
PISHIN DISTRICT,RURAL,6 PERSONS,2.63
PISHIN DISTRICT,RURAL,7 PERSONS,2.75
PISHIN DISTRICT,RURAL,8 PERSONS,2.92
PISHIN DISTRICT,RURAL,9 PERSONS,3.14
PISHIN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.62
PISHIN DISTRICT,URBAN,1 PERSON,1.74
PISHIN DISTRICT,URBAN,2 PERSONS,2.21
PISHIN DISTRICT,URBAN,3 PERSONS,2.4
PISHIN DISTRICT,URBAN,4 PERSONS,2.59
PISHIN DISTRICT,URBAN,5 PERSONS,2.8
PISHIN DISTRICT,URBAN,6 PERSONS,2.98
PISHIN DISTRICT,URBAN,7 PERSONS,3.15
PISHIN DISTRICT,URBAN,8 PERSONS,3.42
PISHIN DISTRICT,URBAN,9 PERSONS,3.66
PISHIN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.82
QUETTA DISTRICT,RURAL,1 PERSON,2.5
QUETTA DISTRICT,RURAL,2 PERSONS,2.24
QUETTA DISTRICT,RURAL,3 PERSONS,2.39
QUETTA DISTRICT,RURAL,4 PERSONS,2.56
QUETTA DISTRICT,RURAL,5 PERSONS,2.72
QUETTA DISTRICT,RURAL,6 PERSONS,2.9
QUETTA DISTRICT,RURAL,7 PERSONS,3.09
QUETTA DISTRICT,RURAL,8 PERSONS,3.21
QUETTA DISTRICT,RURAL,9 PERSONS,3.44
QUETTA DISTRICT,RURAL,10 PERSONS AND ABOVE,4.41
QUETTA DISTRICT,URBAN,1 PERSON,2.41
QUETTA DISTRICT,URBAN,2 PERSONS,2.6
QUETTA DISTRICT,URBAN,3 PERSONS,2.7
QUETTA DISTRICT,URBAN,4 PERSONS,2.82
QUETTA DISTRICT,URBAN,5 PERSONS,2.96
QUETTA DISTRICT,URBAN,6 PERSONS,3.1
QUETTA DISTRICT,URBAN,7 PERSONS,3.22
QUETTA DISTRICT,URBAN,8 PERSONS,3.39
QUETTA DISTRICT,URBAN,9 PERSONS,3.55
QUETTA DISTRICT,URBAN,10 PERSONS AND ABOVE,4.49
RAHIM YAR KHAN DISTRICT,RURAL,1 PERSON,1.67
RAHIM YAR KHAN DISTRICT,RURAL,2 PERSONS,1.55
RAHIM YAR KHAN DISTRICT,RURAL,3 PERSONS,1.67
RAHIM YAR KHAN DISTRICT,RURAL,4 PERSONS,1.8
RAHIM YAR KHAN DISTRICT,RURAL,5 PERSONS,1.94
RAHIM YAR KHAN DISTRICT,RURAL,6 PERSONS,2.07
RAHIM YAR KHAN DISTRICT,RURAL,7 PERSONS,2.16
RAHIM YAR KHAN DISTRICT,RURAL,8 PERSONS,2.26
RAHIM YAR KHAN DISTRICT,RURAL,9 PERSONS,2.39
RAHIM YAR KHAN DISTRICT,RURAL,10 PERSONS AND ABOVE,3.06
RAHIM YAR KHAN DISTRICT,URBAN,1 PERSON,2.15
RAHIM YAR KHAN DISTRICT,URBAN,2 PERSONS,2.18
RAHIM YAR KHAN DISTRICT,URBAN,3 PERSONS,2.32
RAHIM YAR KHAN DISTRICT,URBAN,4 PERSONS,2.47
RAHIM YAR KHAN DISTRICT,URBAN,5 PERSONS,2.64
RAHIM YAR KHAN DISTRICT,URBAN,6 PERSONS,2.76
RAHIM YAR KHAN DISTRICT,URBAN,7 PERSONS,2.83
RAHIM YAR KHAN DISTRICT,URBAN,8 PERSONS,2.89
RAHIM YAR KHAN DISTRICT,URBAN,9 PERSONS,3.05
RAHIM YAR KHAN DISTRICT,URBAN,10 PERSONS AND ABOVE,3.65
RAJANPUR DISTRICT,RURAL,1 PERSON,1.42
RAJANPUR DISTRICT,RURAL,2 PERSONS,1.28
RAJANPUR DISTRICT,RURAL,3 PERSONS,1.36
RAJANPUR DISTRICT,RURAL,4 PERSONS,1.43
RAJANPUR DISTRICT,RURAL,5 PERSONS,1.52
RAJANPUR DISTRICT,RURAL,6 PERSONS,1.63
RAJANPUR DISTRICT,RURAL,7 PERSONS,1.72
RAJANPUR DISTRICT,RURAL,8 PERSONS,1.82
RAJANPUR DISTRICT,RURAL,9 PERSONS,1.95
RAJANPUR DISTRICT,RURAL,10 PERSONS AND ABOVE,2.73
RAJANPUR DISTRICT,URBAN,1 PERSON,1.86
RAJANPUR DISTRICT,URBAN,2 PERSONS,1.77
RAJANPUR DISTRICT,URBAN,3 PERSONS,1.9
RAJANPUR DISTRICT,URBAN,4 PERSONS,2.03
RAJANPUR DISTRICT,URBAN,5 PERSONS,2.17
RAJANPUR DISTRICT,URBAN,6 PERSONS,2.26
RAJANPUR DISTRICT,URBAN,7 PERSONS,2.34
RAJANPUR DISTRICT,URBAN,8 PERSONS,2.5
RAJANPUR DISTRICT,URBAN,9 PERSONS,2.64
RAJANPUR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.37
RAWALPINDI DISTRICT,RURAL,1 PERSON,2.7
RAWALPINDI DISTRICT,RURAL,2 PERSONS,2.88
RAWALPINDI DISTRICT,RURAL,3 PERSONS,3
RAWALPINDI DISTRICT,RURAL,4 PERSONS,3.09
RAWALPINDI DISTRICT,RURAL,5 PERSONS,3.22
RAWALPINDI DISTRICT,RURAL,6 PERSONS,3.34
RAWALPINDI DISTRICT,RURAL,7 PERSONS,3.52
RAWALPINDI DISTRICT,RURAL,8 PERSONS,3.71
RAWALPINDI DISTRICT,RURAL,9 PERSONS,3.91
RAWALPINDI DISTRICT,RURAL,10 PERSONS AND ABOVE,4.59
RAWALPINDI DISTRICT,URBAN,1 PERSON,2.17
RAWALPINDI DISTRICT,URBAN,2 PERSONS,2.48
RAWALPINDI DISTRICT,URBAN,3 PERSONS,2.63
RAWALPINDI DISTRICT,URBAN,4 PERSONS,2.75
RAWALPINDI DISTRICT,URBAN,5 PERSONS,2.89
RAWALPINDI DISTRICT,URBAN,6 PERSONS,3.02
RAWALPINDI DISTRICT,URBAN,7 PERSONS,3.17
RAWALPINDI DISTRICT,URBAN,8 PERSONS,3.37
RAWALPINDI DISTRICT,URBAN,9 PERSONS,3.62
RAWALPINDI DISTRICT,URBAN,10 PERSONS AND ABOVE,4.41
SAHIWAL DISTRICT,RURAL,1 PERSON,1.92
SAHIWAL DISTRICT,RURAL,2 PERSONS,1.93
SAHIWAL DISTRICT,RURAL,3 PERSONS,2.08
SAHIWAL DISTRICT,RURAL,4 PERSONS,2.23
SAHIWAL DISTRICT,RURAL,5 PERSONS,2.35
SAHIWAL DISTRICT,RURAL,6 PERSONS,2.46
SAHIWAL DISTRICT,RURAL,7 PERSONS,2.59
SAHIWAL DISTRICT,RURAL,8 PERSONS,2.73
SAHIWAL DISTRICT,RURAL,9 PERSONS,2.9
SAHIWAL DISTRICT,RURAL,10 PERSONS AND ABOVE,3.65
SAHIWAL DISTRICT,URBAN,1 PERSON,2.25
SAHIWAL DISTRICT,URBAN,2 PERSONS,2.35
SAHIWAL DISTRICT,URBAN,3 PERSONS,2.43
SAHIWAL DISTRICT,URBAN,4 PERSONS,2.54
SAHIWAL DISTRICT,URBAN,5 PERSONS,2.68
SAHIWAL DISTRICT,URBAN,6 PERSONS,2.74
SAHIWAL DISTRICT,URBAN,7 PERSONS,2.84
SAHIWAL DISTRICT,URBAN,8 PERSONS,3
SAHIWAL DISTRICT,URBAN,9 PERSONS,3.15
SAHIWAL DISTRICT,URBAN,10 PERSONS AND ABOVE,3.86
SANGHAR DISTRICT,RURAL,1 PERSON,1.24
SANGHAR DISTRICT,RURAL,2 PERSONS,1.24
SANGHAR DISTRICT,RURAL,3 PERSONS,1.28
SANGHAR DISTRICT,RURAL,4 PERSONS,1.33
SANGHAR DISTRICT,RURAL,5 PERSONS,1.36
SANGHAR DISTRICT,RURAL,6 PERSONS,1.43
SANGHAR DISTRICT,RURAL,7 PERSONS,1.49
SANGHAR DISTRICT,RURAL,8 PERSONS,1.54
SANGHAR DISTRICT,RURAL,9 PERSONS,1.6
SANGHAR DISTRICT,RURAL,10 PERSONS AND ABOVE,1.91
SANGHAR DISTRICT,URBAN,1 PERSON,1.51
SANGHAR DISTRICT,URBAN,2 PERSONS,1.53
SANGHAR DISTRICT,URBAN,3 PERSONS,1.58
SANGHAR DISTRICT,URBAN,4 PERSONS,1.66
SANGHAR DISTRICT,URBAN,5 PERSONS,1.79
SANGHAR DISTRICT,URBAN,6 PERSONS,1.85
SANGHAR DISTRICT,URBAN,7 PERSONS,1.91
SANGHAR DISTRICT,URBAN,8 PERSONS,1.99
SANGHAR DISTRICT,URBAN,9 PERSONS,2.09
SANGHAR DISTRICT,URBAN,10 PERSONS AND ABOVE,2.6
SARGODHA DISTRICT,RURAL,1 PERSON,1.84
SARGODHA DISTRICT,RURAL,2 PERSONS,1.88
SARGODHA DISTRICT,RURAL,3 PERSONS,2.01
SARGODHA DISTRICT,RURAL,4 PERSONS,2.15
SARGODHA DISTRICT,RURAL,5 PERSONS,2.28
SARGODHA DISTRICT,RURAL,6 PERSONS,2.38
SARGODHA DISTRICT,RURAL,7 PERSONS,2.52
SARGODHA DISTRICT,RURAL,8 PERSONS,2.68
SARGODHA DISTRICT,RURAL,9 PERSONS,2.88
SARGODHA DISTRICT,RURAL,10 PERSONS AND ABOVE,3.55
SARGODHA DISTRICT,URBAN,1 PERSON,2.17
SARGODHA DISTRICT,URBAN,2 PERSONS,2.31
SARGODHA DISTRICT,URBAN,3 PERSONS,2.43
SARGODHA DISTRICT,URBAN,4 PERSONS,2.52
SARGODHA DISTRICT,URBAN,5 PERSONS,2.65
SARGODHA DISTRICT,URBAN,6 PERSONS,2.74
SARGODHA DISTRICT,URBAN,7 PERSONS,2.86
SARGODHA DISTRICT,URBAN,8 PERSONS,2.99
SARGODHA DISTRICT,URBAN,9 PERSONS,3.22
SARGODHA DISTRICT,URBAN,10 PERSONS AND ABOVE,3.86
SHAHEED BENAZIRABAD DISTRICT,RURAL,1 PERSON,1.15
SHAHEED BENAZIRABAD DISTRICT,RURAL,2 PERSONS,1.17
SHAHEED BENAZIRABAD DISTRICT,RURAL,3 PERSONS,1.2
SHAHEED BENAZIRABAD DISTRICT,RURAL,4 PERSONS,1.25
SHAHEED BENAZIRABAD DISTRICT,RURAL,5 PERSONS,1.3
SHAHEED BENAZIRABAD DISTRICT,RURAL,6 PERSONS,1.35
SHAHEED BENAZIRABAD DISTRICT,RURAL,7 PERSONS,1.4
SHAHEED BENAZIRABAD DISTRICT,RURAL,8 PERSONS,1.45
SHAHEED BENAZIRABAD DISTRICT,RURAL,9 PERSONS,1.56
SHAHEED BENAZIRABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,1.86
SHAHEED BENAZIRABAD DISTRICT,URBAN,1 PERSON,1.63
SHAHEED BENAZIRABAD DISTRICT,URBAN,2 PERSONS,1.64
SHAHEED BENAZIRABAD DISTRICT,URBAN,3 PERSONS,1.71
SHAHEED BENAZIRABAD DISTRICT,URBAN,4 PERSONS,1.8
SHAHEED BENAZIRABAD DISTRICT,URBAN,5 PERSONS,1.91
SHAHEED BENAZIRABAD DISTRICT,URBAN,6 PERSONS,1.96
SHAHEED BENAZIRABAD DISTRICT,URBAN,7 PERSONS,2.03
SHAHEED BENAZIRABAD DISTRICT,URBAN,8 PERSONS,2.12
SHAHEED BENAZIRABAD DISTRICT,URBAN,9 PERSONS,2.15
SHAHEED BENAZIRABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,2.62
SHANGLA DISTRICT,RURAL,1 PERSON,1.76
SHANGLA DISTRICT,RURAL,2 PERSONS,1.84
SHANGLA DISTRICT,RURAL,3 PERSONS,2
SHANGLA DISTRICT,RURAL,4 PERSONS,2.1
SHANGLA DISTRICT,RURAL,5 PERSONS,2.25
SHANGLA DISTRICT,RURAL,6 PERSONS,2.37
SHANGLA DISTRICT,RURAL,7 PERSONS,2.51
SHANGLA DISTRICT,RURAL,8 PERSONS,2.66
SHANGLA DISTRICT,RURAL,9 PERSONS,2.82
SHANGLA DISTRICT,RURAL,10 PERSONS AND ABOVE,3.62
SHANGLA DISTRICT,URBAN,1 PERSON,
SHANGLA DISTRICT,URBAN,2 PERSONS,
SHANGLA DISTRICT,URBAN,3 PERSONS,
SHANGLA DISTRICT,URBAN,4 PERSONS,
SHANGLA DISTRICT,URBAN,5 PERSONS,
SHANGLA DISTRICT,URBAN,6 PERSONS,
SHANGLA DISTRICT,URBAN,7 PERSONS,
SHANGLA DISTRICT,URBAN,8 PERSONS,
SHANGLA DISTRICT,URBAN,9 PERSONS,
SHANGLA DISTRICT,URBAN,10 PERSONS AND ABOVE,
SHEIKHUPURA DISTRICT,RURAL,1 PERSON,1.83
SHEIKHUPURA DISTRICT,RURAL,2 PERSONS,1.82
SHEIKHUPURA DISTRICT,RURAL,3 PERSONS,1.94
SHEIKHUPURA DISTRICT,RURAL,4 PERSONS,2.08
SHEIKHUPURA DISTRICT,RURAL,5 PERSONS,2.22
SHEIKHUPURA DISTRICT,RURAL,6 PERSONS,2.34
SHEIKHUPURA DISTRICT,RURAL,7 PERSONS,2.47
SHEIKHUPURA DISTRICT,RURAL,8 PERSONS,2.6
SHEIKHUPURA DISTRICT,RURAL,9 PERSONS,2.83
SHEIKHUPURA DISTRICT,RURAL,10 PERSONS AND ABOVE,3.54
SHEIKHUPURA DISTRICT,URBAN,1 PERSON,2.01
SHEIKHUPURA DISTRICT,URBAN,2 PERSONS,2.05
SHEIKHUPURA DISTRICT,URBAN,3 PERSONS,2.18
SHEIKHUPURA DISTRICT,URBAN,4 PERSONS,2.32
SHEIKHUPURA DISTRICT,URBAN,5 PERSONS,2.47
SHEIKHUPURA DISTRICT,URBAN,6 PERSONS,2.59
SHEIKHUPURA DISTRICT,URBAN,7 PERSONS,2.71
SHEIKHUPURA DISTRICT,URBAN,8 PERSONS,2.87
SHEIKHUPURA DISTRICT,URBAN,9 PERSONS,3.1
SHEIKHUPURA DISTRICT,URBAN,10 PERSONS AND ABOVE,3.82
SHERANI DISTRICT,RURAL,1 PERSON,1.98
SHERANI DISTRICT,RURAL,2 PERSONS,2.08
SHERANI DISTRICT,RURAL,3 PERSONS,2.15
SHERANI DISTRICT,RURAL,4 PERSONS,2.41
SHERANI DISTRICT,RURAL,5 PERSONS,2.54
SHERANI DISTRICT,RURAL,6 PERSONS,2.75
SHERANI DISTRICT,RURAL,7 PERSONS,2.97
SHERANI DISTRICT,RURAL,8 PERSONS,3.26
SHERANI DISTRICT,RURAL,9 PERSONS,3.23
SHERANI DISTRICT,RURAL,10 PERSONS AND ABOVE,4.07
SHERANI DISTRICT,URBAN,1 PERSON,
SHERANI DISTRICT,URBAN,2 PERSONS,
SHERANI DISTRICT,URBAN,3 PERSONS,
SHERANI DISTRICT,URBAN,4 PERSONS,
SHERANI DISTRICT,URBAN,5 PERSONS,
SHERANI DISTRICT,URBAN,6 PERSONS,
SHERANI DISTRICT,URBAN,7 PERSONS,
SHERANI DISTRICT,URBAN,8 PERSONS,
SHERANI DISTRICT,URBAN,9 PERSONS,
SHERANI DISTRICT,URBAN,10 PERSONS AND ABOVE,
SHIKARPUR DISTRICT,RURAL,1 PERSON,1.2
SHIKARPUR DISTRICT,RURAL,2 PERSONS,1.19
SHIKARPUR DISTRICT,RURAL,3 PERSONS,1.23
SHIKARPUR DISTRICT,RURAL,4 PERSONS,1.27
SHIKARPUR DISTRICT,RURAL,5 PERSONS,1.31
SHIKARPUR DISTRICT,RURAL,6 PERSONS,1.36
SHIKARPUR DISTRICT,RURAL,7 PERSONS,1.4
SHIKARPUR DISTRICT,RURAL,8 PERSONS,1.46
SHIKARPUR DISTRICT,RURAL,9 PERSONS,1.56
SHIKARPUR DISTRICT,RURAL,10 PERSONS AND ABOVE,1.81
SHIKARPUR DISTRICT,URBAN,1 PERSON,1.46
SHIKARPUR DISTRICT,URBAN,2 PERSONS,1.48
SHIKARPUR DISTRICT,URBAN,3 PERSONS,1.55
SHIKARPUR DISTRICT,URBAN,4 PERSONS,1.63
SHIKARPUR DISTRICT,URBAN,5 PERSONS,1.75
